Task Name,Assignee,Due Date,Description,Section,Priority,Tags
"ПОДГОТОВКА: Создать Google Sheet для CRM",,Before Day 1,"Таблица с колонками: Имя, Telegram, Дата первого контакта, Сегмент, Стадия воронки, Болевая точка, Следующий шаг, Комментарии","Подготовка",High,"setup,crm"
"ПОДГОТОВКА: Создать Google Form для диагностики",,Before Day 1,"Опрос с вопросами: Чем занимаешься? Работаешь один/в команде? Какие задачи занимают больше всего времени? Что пробовал для решения? Что мешает?","Подготовка",High,"setup,surveys"
"ПОДГОТОВКА: Подготовить скрипты ответов",,Before Day 1,"Шаблоны для: первого ответа, квалификации, диагностики, презентации решения, закрытия возражений","Подготовка",High,"setup,sales"
"ПОДГОТОВКА: Проверить готовность лендинга",,Before Day 1,"Убедиться что персонализированный лендинг готов для отправки в диалогах","Подготовка",Medium,"setup"
"Опубликовать пост с результатами опроса",,Day 1,"Использовать готовый шаблон поста про выгорание. Цель: 10-20 человек напишут в личку","День 1: Запуск",High,"content,urgent"
"Настроить CRM-трекинг",,Day 1,"Создать Google Sheet для отслеживания всех диалогов: Имя, Откуда, Стадия, Следующий шаг","День 1: Запуск",High,"setup,crm"
"Отвечать на входящие сообщения",,Day 1,"Использовать скрипт квалификации. Цель: понять ситуацию каждого, кто написал","День 1: Запуск",High,"sales,dialogue"
"Вечерний анализ",,Day 1,"Подсчитать: сколько написали, сколько подходят под целевую, какие паттерны в запросах","День 1: Запуск",Medium,"analytics"
"Продолжить диалоги с вчерашними",,Day 2,"Те, кто написал вчера - задать уточняющие вопросы, провести через диагностику","День 2: Диалоги",High,"sales"
"Опубликовать пост 2: Причина проблемы",,Day 2,"Пост про то, ПОЧЕМУ выгорание происходит. Углубление понимания проблемы","День 2: Диалоги",High,"content"
"Сегментировать диалоги в CRM",,Day 2,"Разделить на: Горячие (готовы покупать), Тёплые (думают), Холодные (просто интересно)","День 2: Диалоги",Medium,"crm,analytics"
"Отправить диагностический опрос",,Day 2,"Тем, кто в диалоге - отправить ссылку на Google Form для глубокой диагностики","День 2: Диалоги",Medium,"surveys"
"Опубликовать пост 3: Неправильные решения",,Day 3,"Пост про то, что обычно пробуют (и почему не работает)","День 3: Решение",High,"content"
"Провести 5-10 диалогов через этап Решение",,Day 3,"Показать конкретно, как Upgrade решит их проблему. Использовать персональные кейсы","День 3: Решение",High,"sales"
"Собрать первые возражения",,Day 3,"Записать все возражения, которые услышал в диалогах","День 3: Решение",Medium,"analytics"
"Подготовить ответы на возражения",,Day 3,"Для топ-3 возражений написать скрипты ответов","День 3: Решение",Medium,"sales,content"
"Опубликовать пост 4: Кейс",,Day 4,"Реальный кейс ученика с цифрами и результатами","День 4: Доказательства",High,"content"
"Первые закрытия продаж",,Day 4,"С самыми горячими - пройти этап закрытия. Цель: 3-5 первых продаж","День 4: Доказательства",High,"sales,urgent"
"Отработать возражения в диалогах",,Day 4,"Использовать подготовленные скрипты для ответов на возражения","День 4: Доказательства",High,"sales"
"Запросить обратную связь от первых покупателей",,Day 4,"Спросить у купивших: что помогло принять решение?","День 4: Доказательства",Medium,"feedback"
"Опубликовать пост 5: Второй триггер",,Day 5,"Новый пост с другим углом той же проблемы. Привлечь тех, кто не откликнулся на первый","День 5: Масштабирование",High,"content"
"Продолжить закрытие продаж",,Day 5,"Работать с тёплыми из дней 2-3. Цель: ещё 5-7 продаж","День 5: Масштабирование",High,"sales"
"Запустить Google Form как отдельный пост",,Day 5,"Опубликовать диагностический опрос как самостоятельный пост. Для тех, кто не пишет в личку","День 5: Масштабирование",Medium,"surveys,content"
"Обновить CRM - добавить новых",,Day 5,"Внести всех новых из второй волны в таблицу","День 5: Масштабирование",Medium,"crm"
"Опубликовать пост 6: Финальный призыв",,Day 6,"Пост про то, что набор в спринт скоро закроется (искусственная срочность)","День 6: Финал",High,"content"
"Дожать всех тёплых",,Day 6,"Написать всем, кто в раздумьях. Персональные сообщения про их ситуацию","День 6: Финал",High,"sales"
"Ответить на все вопросы в комментариях",,Day 6,"Проработать комментарии под всеми постами за неделю","День 6: Финал",Medium,"engagement"
"Подготовить онбординг для купивших",,Day 6,"Создать welcome-сообщение и инструкции для тех, кто купил","День 6: Финал",Medium,"setup"
"Подсчитать метрики недели",,Day 7,"Сколько: написали, в диалоге, купили, денег заработали, конверсия на каждом этапе","День 7: Аналитика",High,"analytics"
"Провести ретроспективу",,Day 7,"Что сработало? Что не сработало? Какие инсайты?","День 7: Аналитика",High,"analytics"
"Написать план на следующий месяц",,Day 7,"На основе результатов - что масштабировать, что менять","День 7: Аналитика",High,"planning"
"Запустить пост-спринт опрос",,Day 7,"Отправить опрос тем, кто купил - для улучшения следующего спринта","День 7: Аналитика",Medium,"surveys,feedback"
"Подготовить контент на следующую неделю",,Day 7,"Запланировать посты на неделю 2 на основе инсайтов","День 7: Аналитика",Medium,"content,planning"
